Mismatched Image Paths and IDs:
Epoch: 1, Iteration: 0, Predicted Shape: torch.Size([19, 1024, 1024]), Ground Truth Shape: torch.Size([18, 1024, 1024])
Epoch: 1, Iteration: 1, Predicted Shape: torch.Size([15, 1024, 1024]), Ground Truth Shape: torch.Size([14, 1024, 1024])
Epoch: 1, Iteration: 2, Predicted Shape: torch.Size([98, 1024, 1024]), Ground Truth Shape: torch.Size([95, 1024, 1024])
Epoch: 1, Iteration: 3, Predicted Shape: torch.Size([16, 1024, 1024]), Ground Truth Shape: torch.Size([15, 1024, 1024])
Epoch: 1, Iteration: 4, Predicted Shape: torch.Size([69, 1024, 1024]), Ground Truth Shape: torch.Size([67, 1024, 1024])
Epoch: 1, Iteration: 5, Predicted Shape: torch.Size([55, 1024, 1024]), Ground Truth Shape: torch.Size([52, 1024, 1024])
Epoch: 1, Iteration: 6, Predicted Shape: torch.Size([56, 1024, 1024]), Ground Truth Shape: torch.Size([54, 1024, 1024])
Epoch: 1, Iteration: 7, Predicted Shape: torch.Size([38, 1024, 1024]), Ground Truth Shape: torch.Size([36, 1024, 1024])
Epoch: 1, Iteration: 8, Predicted Shape: torch.Size([39, 1024, 1024]), Ground Truth Shape: torch.Size([36, 1024, 1024])
Epoch: 1, Iteration: 9, Predicted Shape: torch.Size([73, 1024, 1024]), Ground Truth Shape: torch.Size([71, 1024, 1024])
Epoch: 1, Iteration: 10, Predicted Shape: torch.Size([95, 1024, 1024]), Ground Truth Shape: torch.Size([94, 1024, 1024])
Epoch: 1, Iteration: 11, Predicted Shape: torch.Size([62, 1024, 1024]), Ground Truth Shape: torch.Size([60, 1024, 1024])
Epoch: 1, Iteration: 12, Predicted Shape: torch.Size([72, 1024, 1024]), Ground Truth Shape: torch.Size([70, 1024, 1024])
Epoch: 1, Iteration: 13, Predicted Shape: torch.Size([23, 1024, 1024]), Ground Truth Shape: torch.Size([20, 1024, 1024])
Epoch: 1, Iteration: 14, Predicted Shape: torch.Size([32, 1024, 1024]), Ground Truth Shape: torch.Size([30, 1024, 1024])
Epoch: 1, Iteration: 15, Predicted Shape: torch.Size([36, 1024, 1024]), Ground Truth Shape: torch.Size([33, 1024, 1024])
Epoch: 1, Iteration: 16, Predicted Shape: torch.Size([18, 1024, 1024]), Ground Truth Shape: torch.Size([16, 1024, 1024])
Epoch: 1, Iteration: 17, Predicted Shape: torch.Size([24, 1024, 1024]), Ground Truth Shape: torch.Size([23, 1024, 1024])
Epoch: 1, Iteration: 18, Predicted Shape: torch.Size([23, 1024, 1024]), Ground Truth Shape: torch.Size([21, 1024, 1024])
Epoch: 1, Iteration: 19, Predicted Shape: torch.Size([46, 1024, 1024]), Ground Truth Shape: torch.Size([45, 1024, 1024])
Epoch: 1, Iteration: 20, Predicted Shape: torch.Size([31, 1024, 1024]), Ground Truth Shape: torch.Size([30, 1024, 1024])
Epoch: 1, Iteration: 21, Predicted Shape: torch.Size([36, 1024, 1024]), Ground Truth Shape: torch.Size([34, 1024, 1024])
Epoch: 1, Iteration: 22, Predicted Shape: torch.Size([78, 1024, 1024]), Ground Truth Shape: torch.Size([75, 1024, 1024])
